B11,B12,B2,B3,B4,B8,H2_pct,H2_ppm,OBJECTID,sid_vs_mean,sid_hematite,sid_magnetite,sid_goethite,sid_serpentine,sid_olivine,sid_chlorite
2586.0,2438.0,9024.0,8796.0,8867.2,8412.0,29.2,,7.0,0.097280626215006,1.106884899203701,1.176566137107993,1.1598779042344676,,,
1954.0,1900.5,6882.0,6432.0,6112.0,5880.0,51.5,,8.0,0.0896261214400492,1.0693275071715715,1.1397193627607851,1.1224690179207428,,,
1853.75,1367.167,476.765,665.714,719.429,1883.0,15.7,,177.0,0.3759915046942204,0.18329230282687325,0.2072102196849388,0.19507023719719602,,,
2175.65,1647.875,798.267,1118.429,1242.286,1883.556,39.2,,178.0,0.2125042147249244,0.159559296130746,0.17640163215889026,0.1709917091250528,,,
2403.444,1768.6,609.8,791.6,800.444,2609.929,34.0,,180.0,0.4242789693191711,0.2091314009493482,0.23836420608160158,0.22285791216501388,,,
1366.75,688.429,215.9,418.053,281.571,2909.75,50.9,,181.0,0.816268752863989,0.7959947910902285,0.8533473849842932,0.8221023620098329,,,
1517.488,1132.96,794.564,929.84,984.413,1758.909,4.1,,182.0,0.1297747902223969,0.24901283779284686,0.28306947321127784,0.27085292083710566,,,
2254.3,1484.25,603.84,990.714,987.471,2395.692,14.7,,183.0,0.3076153265579778,0.23434023885891003,0.2565968628969248,0.2466565860667016,,,
1833.833,1778.333,7556.0,7512.0,7336.0,6894.0,10.8,,186.0,0.130894003321108,1.2153056332699208,1.2874787178873308,1.2705449172853793,,,
2889.0,2033.0,539.25,735.889,1186.4,2976.0,1.1,,189.0,0.4874618824679748,0.2227066619173767,0.24621815984259054,0.23291231275808572,,,
1682.0,1133.4,410.591,534.0,667.227,1995.5,70.0,,205.0,0.4082508562378689,0.26490234742336277,0.29741583020083806,0.28082300000485083,,,
3108.0,2447.333,2561.978,2967.0,3131.933,3323.167,57.7,,207.0,0.0347641466829106,0.35324391208927236,0.384189026735556,0.3775600046982994,,,
3151.0,2415.333,860.4,1116.4,1256.308,2716.8,13.3,,209.0,0.3636298172141491,0.1296434185471911,0.1486409391537708,0.13913390278897206,,,
4437.333,3960.667,2015.636,2529.75,2962.0,3464.0,4.1,,213.0,0.1896895457764285,0.12763743763536717,0.1429063400026932,0.13917773313351633,,,
3287.8,2398.333,2062.0,2157.0,2295.167,2741.667,19.5,,240.0,0.098277250833195,0.23297847315533612,0.26020065347560684,0.25289280458996743,,,
2332.3,1706.667,5029.333,4837.0,4682.0,5100.0,2.0,,267.0,0.0321293696352687,0.870166368703839,0.9330039009816926,0.9170569616923411,,,
3748.25,3440.5,1253.714,1697.667,2515.75,3152.0,3.82,,288.0,0.2701750691414422,0.11193996156432752,0.12520622350402316,0.12076778188831352,,,
2329.0,1973.5,3822.25,3559.0,3539.0,3708.0,1.1,,295.0,0.00416531386545,0.6184755142713103,0.672083002315286,0.6582676101705274,,,
2329.0,1973.5,3822.25,3559.0,3539.0,3708.0,1.6,,296.0,0.00416531386545,0.6184755142713103,0.672083002315286,0.6582676101705274,,,
2108.25,1583.0,2113.5,2217.5,2132.0,3517.0,2.53,,304.0,0.0239653146905087,0.4766757161158756,0.5282356314179784,0.5117936781837381,,,
2959.25,2708.667,2902.0,2830.0,2635.0,3460.0,1.7,,360.0,0.0378207937314787,0.31971670654965806,0.36085118460336807,0.34869751731402865,,,
2953.0,2675.0,2298.5,2359.0,2552.5,3034.5,2.6,,362.0,0.067031317046014,0.2501648375986794,0.2832582142771599,0.27388877608492673,,,
4487.0,4328.0,1248.615,1890.8,3049.1,3673.333,2.2,,382.0,0.3287792797383264,0.1014848244315576,0.10952386575912328,0.10684381005101302,,,
3241.25,2988.25,1050.222,1315.091,1953.2,2405.0,2.6,,391.0,0.3101569638161295,0.08240391497945415,0.0937007977199016,0.08957476435794849,,,
3868.625,3597.0,982.136,1378.737,2590.538,3104.167,4.2,,397.0,0.3668187209506883,0.10675296319078707,0.1156692643416499,0.11200122792205201,,,
3508.333,3363.0,1045.222,1386.316,2458.818,3029.444,20.4,,405.0,0.3191412007009341,0.11003064494108895,0.12323670785322112,0.11811396596813419,,,
3490.25,3183.5,1119.286,1502.933,2207.294,2777.857,12.8,,414.0,0.2913294677084901,0.09918093263089788,0.11091975269143263,0.10685205617804983,,,
1910.0,1681.667,4481.6,4376.5,4452.0,5150.0,19.0,,421.0,0.0366095455253081,0.8777096518286974,0.9439133232415936,0.9261725141479298,,,
2783.167,2204.0,2309.0,2129.5,1950.625,2732.0,26.3,,457.0,0.0670350175332028,0.2763592606204222,0.31526524621059276,0.30309672393146747,,,
2354.5,1996.0,1061.143,1375.0,1634.571,2592.667,2.4,,461.0,0.1651178356017987,0.1948100816675718,0.22135192969555895,0.21204875140690965,,,
3387.0,3038.0,1164.0,1564.0,2011.4,2572.833,8.4,,577.0,0.2734878205496244,0.09444565661023588,0.10562452376167705,0.10211219363394301,,,
5196.0,4815.909,1885.75,2533.286,3103.172,3520.656,7.2,,668.0,0.275340885045522,0.08194736737435945,0.08942952238556234,0.08803484749642354,,,
4428.4,4082.429,1834.0,2391.714,2854.111,3242.286,11.5,,675.0,0.2254486937756014,0.10437449138222742,0.11572460641610964,0.11330901120150734,,,
3628.375,3281.0,1305.902,1633.667,1953.854,2528.0,3.7,,735.0,0.2879783777316535,0.0763093427041696,0.0872947529552529,0.08366394473880288,,,
3628.375,3281.0,1305.902,1633.667,1953.854,2528.0,6.4,,736.0,0.2879783777316535,0.0763093427041696,0.0872947529552529,0.08366394473880288,,,
3217.667,2775.25,1181.385,1499.333,1898.667,2529.333,1.1,,760.0,0.2499993661415149,0.1074662824286833,0.1221237756967113,0.11721721538635926,,,
4181.182,3793.0,1337.366,1823.026,2464.027,3101.727,1.1,,827.0,0.2997256090306135,0.08673021745233389,0.09619363737103316,0.0931156259951209,,,
4322.467,3740.0,2081.371,2584.229,2845.733,3291.238,2.3,,846.0,0.1735450433315991,0.13976575633816318,0.1553890100634499,0.1519097891126204,,,
2766.1,2479.077,3372.667,3288.0,3366.0,4324.6,21.0,,880.0,0.0061982646007902,0.4630648994661002,0.5131081367228709,0.49846911314887576,,,
2318.0,1648.8,2194.5,2247.0,2457.5,3572.333,2.1,,888.0,0.0223050638896985,0.46697179874736716,0.5160570089428254,0.500902529143712,,,
3662.0,3301.5,1236.0,1763.556,2076.0,2842.0,31.8,,952.0,0.275232116173547,0.0945378312517237,0.10507718569178247,0.10175147540237912,,,
3662.0,3301.5,1236.0,1763.556,2076.0,2842.0,4.7,,953.0,0.275232116173547,0.0945378312517237,0.10507718569178247,0.10175147540237912,,,
4620.25,4202.333,2087.25,2751.667,3582.917,4120.444,2.17,,968.0,0.1714906620297285,0.15566562838532505,0.1727354622142906,0.16851020625114915,,,
4620.25,4202.333,2087.25,2751.667,3582.917,4120.444,1.92,,969.0,0.1714906620297285,0.15566562838532505,0.1727354622142906,0.16851020625114915,,,
4620.25,4202.333,2087.25,2751.667,3582.917,4120.444,2.06,,970.0,0.1714906620297285,0.15566562838532505,0.1727354622142906,0.16851020625114915,,,
2318.333,2286.333,795.933,1054.1,1620.727,2266.0,1.0,,973.0,0.27330512535497,0.12106447729268509,0.13944812682534413,0.13227546534570184,,,
3162.5,2746.0,1048.632,1440.727,1894.857,2709.556,18.9,,974.0,0.266601058973487,0.11751401033591934,0.13232897394052037,0.1269313980729963,,,
2481.0,2164.0,995.571,1239.6,1492.4,2221.5,76.3,,976.0,0.2203892307410474,0.12763760787613357,0.1477602477330622,0.14050344038999646,,,
3680.571,3231.821,1253.75,1632.667,2088.4,3011.944,1.9,,1022.0,0.2751243805157374,0.1026567424200773,0.1176182985352098,0.11197133094074387,,,
2736.8,2342.0,797.5,1119.5,1516.0,2652.0,1.91,,1052.0,0.3094737056557134,0.13709349623784323,0.15586641288113845,0.1475480882531563,,,
3976.625,3277.286,1365.0,1758.667,2258.5,3352.0,2.29,,1292.0,0.2592915456945867,0.12268399207165474,0.13958188861960974,0.13321735335388554,,,
2739.25,2217.333,3132.0,3060.0,2808.0,3748.0,1.0,,1317.0,0.0105873363671773,0.44502996947325235,0.49271583414755293,0.47895404966475974,,,
3479.667,2769.4,923.438,1181.8,1504.5,2399.333,5.2,,1354.0,0.3808326167490868,0.0853406948693673,0.09547207385343032,0.0904253590297027,,,
4345.917,3792.0,1080.0,1505.429,2192.0,3070.0,1.3,,1423.0,0.3929417285738853,0.07801628706909342,0.08488707217353204,0.08144958638271696,,,
4464.0,3767.0,1879.429,2427.133,3182.0,4095.2,1.1,,1424.0,0.182423931729497,0.16178254334100273,0.18119447976291042,0.17533183936945831,,,
3018.25,2413.375,857.923,1061.12,1304.857,2078.571,2.8,,1427.0,0.3635412013437603,0.0835195769682293,0.09488156573614154,0.08949763476847368,,,
3340.857,2676.0,948.273,1311.6,1634.952,3046.0,1.4,,1431.0,0.3211320371409012,0.13518447076713885,0.1533133505229159,0.14503697937374724,,,
3021.222,2290.667,993.381,1303.76,1581.167,2654.0,3.6,,1460.0,0.2623452672893116,0.1462068841583291,0.16517087905063638,0.15760890778018175,,,
3205.667,2640.0,970.903,1442.211,1956.909,2842.0,6.7,,1490.0,0.2716719417283077,0.13953433510474594,0.1534779185212959,0.14846014746742717,,,
3570.0,2988.333,1089.778,1439.333,1885.733,2777.556,6.1,,1491.0,0.3079676263594902,0.10022276034111537,0.11319243604235259,0.10795395134015866,,,
2830.0,2224.5,686.958,957.28,1119.231,2326.333,2.5,,1492.0,0.4008325237748597,0.11677710814558892,0.1314172122191759,0.12353062111461263,,,
2925.778,2293.5,799.696,1052.1,1312.455,2578.0,6.5,,1526.0,0.3488843843313291,0.1302744131619869,0.14882802309107143,0.13984155262274173,,,
4302.286,3790.5,1251.182,1821.647,2530.857,3810.0,1.1,,1901.0,0.3054118986385653,0.11777693543474495,0.13160849631855398,0.12598596278218788,,,
4302.286,3790.5,1251.182,1821.647,2530.857,3810.0,1.3,,1902.0,0.3054118986385653,0.11777693543474495,0.13160849631855398,0.12598596278218788,,,
3064.25,2368.5,725.0,991.8,1042.5,2504.0,1.1,,2010.0,0.4335505372253431,0.12114613713945463,0.13685002810703922,0.1278734571429948,,,
3251.667,2717.0,986.75,1242.8,1549.0,3107.333,2.7,,2047.0,0.3253366760296774,0.13135281519551556,0.153660079308715,0.14315289943474957,,,
3358.0,2606.667,999.875,1270.756,1496.429,2790.667,5.6,,2145.0,0.3240756274088395,0.12031239637587936,0.13818893907550706,0.12997889994436296,,,
3358.0,2606.667,999.875,1270.756,1496.429,2790.667,17.9,,2146.0,0.3240756274088395,0.12031239637587936,0.13818893907550706,0.12997889994436296,,,
3955.333,2968.583,1564.5,2017.667,2362.2,3622.0,1.0,,2301.0,0.1945102955662702,0.17422586677750893,0.1955534208553495,0.18825056549900282,,,
3588.967,2809.667,642.919,864.2,921.636,2598.0,1.1,,2317.0,0.6009248845888531,0.11958880055495791,0.13069754291947788,0.12172200203924587,,,
2960.5,2128.167,663.444,1053.0,1179.0,2868.0,1.9,,2420.0,0.3937367084286946,0.18298923503157263,0.20148123136222135,0.19183212316720577,,,
3512.333,2796.0,1244.0,1570.667,1939.0,3537.6,6.6,,2450.0,0.2480882308306416,0.16360867269694612,0.1883042464696602,0.1780745027025354,,,
3980.5,3051.0,1082.0,1562.667,2009.556,3137.5,4.6,,2500.0,0.3194124353981631,0.12314567083427558,0.13476683076490512,0.1299760662594502,,,
2166.0,1534.0,444.0,545.333,662.0,2799.0,1.4,,2627.0,0.5547307776889623,0.31294809202610396,0.3507042299297243,0.32953901635614635,,,
2867.333,1875.0,744.667,937.0,997.5,2758.0,1.4,,2656.0,0.3850053208313475,0.20299055082344858,0.22903790072911612,0.21578074302273414,,,
4550.5,3923.0,1591.385,2072.727,2653.333,3936.0,8.1,,2812.0,0.2577484534014934,0.1180499609263269,0.13513670553790652,0.12869891210749296,,,
3475.75,2517.25,665.933,990.833,1319.75,2790.4,1.1,,2936.0,0.467394287187347,0.14284756720166109,0.15483609933100972,0.14738085008303822,,,
2730.333,1762.2,862.75,1127.0,1104.667,3248.0,2.2,,3055.0,0.3081515501876956,0.2706995622201528,0.30477017697748515,0.28900707925579106,,,
3183.5,2149.5,1126.8,1312.667,1431.0,3385.333,56.0,,3158.0,0.2649273047596988,0.2182837188917045,0.2501694529601659,0.23608442133339935,,,
2833.0,2049.5,866.5,1126.5,1434.5,3348.0,80.0,,3160.0,0.2999535796505803,0.23273349794383869,0.26374975511926413,0.2495805467012207,,,
2265.333,1583.75,511.775,687.125,750.2,3003.0,1.0,,3178.0,0.487600067292438,0.31138357736424527,0.34847786146072424,0.3285771637782216,,,
2784.0,2341.0,1004.667,1172.333,1425.714,4070.0,91.8,,3194.0,0.3104993214276591,0.260242946814358,0.30185013673070504,0.28232860649188063,,,
3781.333,2335.0,724.923,1052.727,1189.0,3753.6,3.2,,3227.0,0.4863209622770279,0.24838120903408423,0.272127762368805,0.25866192293859447,,,
2332.083,1662.982,544.588,742.333,805.1,3340.286,1.12,,3266.0,0.4839754908145182,0.33639072848387086,0.3762394478773921,0.3551680168716396,,,
3316.5,2775.5,2825.0,2626.0,2690.5,4357.5,17.2,,3339.0,0.0545232619115966,0.3153881898936885,0.3621166722481839,0.34606104747785327,,,
2130.333,1454.0,421.429,539.222,477.429,2342.0,2.4,,3427.0,0.5885722204978802,0.2771043190824083,0.30892537658470365,0.29002884322241607,,,
2801.333,2018.75,1208.5,1320.5,1514.333,3050.0,96.3,,3519.0,0.2000019153645973,0.21451459345319715,0.24840571872893294,0.23459011922859097,,,
3183.2,2505.167,1666.267,2017.0,2131.667,3670.0,33.7,,3534.0,0.1290744493736426,0.23543966780520767,0.26756514165780676,0.25630360228196974,,,
3405.0,2404.0,924.0,1238.286,1508.4,2910.222,1.04,,3730.0,0.3308142680104615,0.1520995355395351,0.1700694661112922,0.16175281549030993,,,
3468.5,3186.0,1394.0,1579.0,2646.0,3203.0,40.0,,3738.0,0.2259678559812788,0.13922084640817184,0.1604763258355155,0.15299106610988922,,,
3258.0,2355.0,803.0,1050.4,1252.333,2280.8,1.74,,3759.0,0.3974710378853214,0.10844267395419668,0.1195998828899163,0.11368580569927553,,,
2361.5,1902.0,993.0,1129.0,1166.0,2271.0,4.6,,3789.0,0.224899704688886,0.1509739575307566,0.17855886687255387,0.16726257712491938,,,
2516.417,1719.5,1165.25,1379.0,1308.5,4543.5,1.2,,3823.0,0.2558189601255805,0.42474356011718817,0.478322409318943,0.4547996960946711,,,
2001.8,1206.375,829.5,857.833,797.0,3242.0,1.1,,3841.0,0.3184457230572435,0.4239021034555731,0.4791944309383949,0.45368226860538297,,,
2572.143,1861.667,2284.0,2357.0,2246.0,4305.125,26.0,,3861.0,0.0481663820765318,0.44944776961538635,0.502574895342193,0.4842410323393582,,,
2530.045,2017.125,2459.714,2400.0,2469.0,3735.5,25.6,,3869.0,0.0253480427390335,0.4078044998059054,0.4570455110460492,0.4412558196398906,,,
2457.429,2298.5,5114.75,5082.0,5134.0,5258.25,12.7,,4042.0,0.0190778325002156,0.7642551676152189,0.8222303877021138,0.8078697739623864,,,
1808.0,1562.75,4122.0,3976.0,3924.0,4304.0,57.8,,4058.0,0.0298734183195284,0.8457862851883928,0.9093576145234998,0.8928618616134847,,,
2373.0,2126.25,4430.667,4263.0,4124.0,4890.667,1.0,,4211.0,0.0084676230652717,0.6986799412010494,0.7583782491083205,0.742111764262092,,,
2141.667,1790.0,3290.0,3250.0,3065.0,4576.5,1.0,,4222.0,0.00972681039929,0.6403982272953626,0.7014550768464602,0.6829691242517149,,,
2024.2,1712.0,4389.0,4072.0,3906.0,4500.0,2.17,,4259.0,0.0220255817116605,0.801265009673459,0.8655056859995713,0.8481665678292378,,,
2593.0,1825.5,1650.5,1748.0,1731.0,2844.0,5.636,56361.0,4270.0,0.088083604050178,0.2809789254234961,0.3179020658472345,0.3055649393186963,,,
1227.2,1170.333,1038.909,1196.6,1422.4,1392.222,7.1,,4271.0,0.0446497765622099,0.31942558113631475,0.3497088161546533,0.3431648802507743,,,
2533.5,2222.4,7729.6,7365.167,7458.667,7520.0,35.0,,4287.0,0.0744337134395434,1.0364233019107076,1.1058049250231656,1.0884525689722457,,,
2321.375,1815.0,5374.25,5102.4,5021.333,5216.0,68.44,,4289.0,0.036835719810582,0.8854223037546022,0.9488424427976772,0.9329365244922432,,,
2279.3,2274.083,4690.0,4244.0,4256.0,4520.0,12.6,,4290.0,0.0121323509689033,0.6907508939527389,0.7508566311631067,0.7347313801949951,,,
2045.75,1689.5,5289.333,4918.8,4965.6,5081.333,12.6,,4291.0,0.0484011892622106,0.9346654270094933,1.0011667999044416,0.984268220802863,,,
2032.667,2072.4,7479.0,7116.0,6872.333,6683.8,18.8,,4293.0,0.0961442186366753,1.0924206357906145,1.1636164542057594,1.1461132809033057,,,
1939.5,1709.0,5816.0,5481.333,5164.0,4700.0,93.1,,4294.0,0.0713278601754933,0.9967870954474118,1.0617619037828727,1.0466379563676198,,,
713.5,715.5,943.25,922.5,865.25,843.0,2.175,21749.0,4428.0,0.021958478590897,0.42878529617885064,0.4698827376284207,0.46020815098279466,,,
713.5,715.5,943.25,922.5,865.25,843.0,1.648,16479.0,4429.0,0.021958478590897,0.42878529617885064,0.4698827376284207,0.46020815098279466,,,
2581.833,2286.0,5409.333,5276.0,5162.0,5772.0,46.4,,4438.0,0.0194842973021465,0.783070510380266,0.8442692942088322,0.8282795503196121,,,
1953.5,1853.667,3587.0,3340.0,3355.0,3323.0,34.4,,4439.0,0.0089721506628458,0.6437437123753309,0.6982197891177715,0.6844888530191141,,,
3128.5,2858.333,3716.0,3481.333,3360.0,3676.0,54.0,,4440.0,0.0198506524334301,0.39802249562320124,0.44124906334830727,0.4297392980698682,,,
2948.7,2470.0,8103.909,7776.0,7710.4,7582.0,67.0,,4441.0,0.0598299889676904,0.9785813531391611,1.0442815890968262,1.0283052192618487,,,
2445.0,2282.167,7766.0,7330.0,7079.5,6511.5,36.0,,4442.0,0.0765938050787519,1.0189295469870894,1.085612236310019,1.0698143917255059,,,
2420.6,2214.333,7696.0,7394.667,7122.667,6609.333,22.2,,4443.0,0.0794817591340621,1.0357534379383653,1.1023268731923506,1.0866864034696562,,,
2448.0,2192.0,6622.0,6368.0,6273.048,6237.333,36.0,,4444.0,0.0523064600764984,0.9397677979954469,1.004705734118628,0.9887580662909886,,,
2780.5,2332.3,5314.0,4964.0,4879.429,5460.8,19.0,,4445.0,0.0110825042904301,0.7257080258417741,0.7857392756094081,0.7697416854295656,,,
2511.286,2026.5,4442.0,4316.0,4288.0,4697.5,64.0,,4446.0,0.0084056883354443,0.7080107663246396,0.764807354675923,0.7501899029265979,,,
2357.0,1897.4,3470.667,3368.0,3427.6,3738.4,24.1,,4447.0,0.0010189626145687,0.5961172994392823,0.64776433938074,0.6344125230184343,,,
2584.25,2194.5,3799.0,3676.0,3694.0,4121.25,57.3,,4448.0,0.0005371476703404,0.5719581609146646,0.6235985442746926,0.6099744593288934,,,
2080.25,1957.0,6691.0,6482.4,6354.667,5930.0,14.0,,4449.0,0.0804041666184378,1.0398285705579389,1.1066990576211533,1.0909101860054067,,,
2089.364,2034.667,8152.0,7899.333,7960.0,7446.4,16.6,,4450.0,0.1169531909864078,1.1693729455399935,1.2413028117781073,1.224099195009738,,,
3423.0,2634.25,1236.667,1584.0,2073.0,3118.4,98.5,,4457.0,0.224486822873387,0.16094588234484636,0.18131247061494796,0.17390515068949564,,,
2349.111,1453.5,496.0,866.417,796.5,3682.25,25.0,,4462.0,0.4944376704327342,0.4361241364703356,0.47585702832802,0.4552965350548222,,,
2475.0,2319.0,1802.0,2010.0,2202.0,4376.0,52.0,,4463.0,0.0970007653993111,0.34519724496897364,0.39380372965502675,0.37571857129275543,,,
2707.0,2060.75,560.143,798.875,848.0,3117.5,14.1,,4465.0,0.5094474249493908,0.2356854143870692,0.2643717641143208,0.24798682586580095,,,
2597.0,2382.0,4446.0,4312.0,4210.0,5036.0,24.6,,4468.0,0.00356731456658,0.6394262410320675,0.6966365744216192,0.6809201550967957,,,
2717.5,2213.5,4176.0,4052.0,4060.0,4778.25,16.0,,4478.0,0.0013092019495722,0.6224177044422239,0.6773897200094872,0.6624955670330382,,,
2765.5,1943.5,3028.0,2702.0,2610.0,4773.6,13.3,,4479.0,0.0307525873501124,0.5085412769091706,0.5689742341711623,0.548226313330333,,,
2476.0,2328.714,3602.0,3490.667,3532.0,4390.0,61.5,,4480.0,0.0014236478624767,0.5403436004527198,0.5943107258211742,0.5788834005859056,,,
2455.0,2096.5,2604.0,2532.0,2480.0,3528.0,12.9,,4482.0,0.0180869036343175,0.4052497995594536,0.4535559534276716,0.4386624851473433,,,
3039.444,2454.286,2900.0,2959.0,2834.0,3928.0,22.1,,4483.0,0.0245966394414073,0.3782772723652307,0.4216418433671902,0.4088046857897527,,,
2328.0,1944.0,2583.0,2558.0,2424.0,3464.0,93.0,,4484.0,0.0128012293744896,0.43843760239450114,0.487646092102778,0.47275702842602413,,,
